date,stock,shares,price,value
2021-03-30,002716.SZ,253,1.9943379790940767,504.5675087108014
2021-03-30,300864.SZ,1129,61.54264697024456,69481.64842940611
2021-03-30,605100.SH,81,32.95909827404014,2669.686960197251
2021-03-30,300564.SZ,108,18.778451492537343,2028.072761194033
2021-03-30,688160.SH,4703,18.60224978089395,87486.38071954425
2021-03-30,002482.SZ,695,1.4836423841059585,1031.1314569536412
2021-03-30,603360.SH,77,5.551547347404458,427.4691457501433
2021-03-30,600673.SH,266,2.4725125628140776,657.6883417085446
2021-03-30,600279.SH,105,2.873419037199119,301.7089989059075
2021-03-30,600602.SH,282,3.750535077288944,1057.6508917954823
2021-03-30,600115.SH,99,5.178553754266197,512.6768216723535
2021-03-30,688233.SH,6321,15.668318368394033,99039.44040661868
2021-03-30,603309.SH,20,10.803683492496608,216.07366984993217
2021-03-30,000995.SZ,983,11.832917741935486,11631.758140322583
2021-03-30,603616.SH,20634,3.960988023952096,81731.02688622754
2021-03-30,603908.SH,130,20.14490035169987,2618.837045720983
2021-03-30,300717.SZ,35,11.519022329511172,403.165781532891
2021-03-30,600834.SH,9524,10.958032128514022,104364.29799196754
2021-03-30,000920.SZ,94,6.523195684523815,613.1803943452386
2021-03-30,600313.SH,12862,7.8401612903225955,100840.15451612922
2021-03-30,300468.SZ,10966,10.551495104895094,115707.6953202796
2021-03-30,300377.SZ,15,5.61625941422594,84.2438912133891
2021-03-30,002222.SZ,6185,17.553563787638627,108568.7920265449
2021-03-30,002042.SZ,84,2.918817567567562,245.18067567567522
2021-03-30,603103.SH,97,12.92227572225039,1253.4607450582878
2021-03-30,600015.SH,4351,5.436467532467533,23654.070233766233
2021-03-30,600138.SH,8755,13.228386718749992,115814.52572265618
2021-03-30,000045.SZ,10839,8.845354330708659,95874.79559055116
2021-03-30,002021.SZ,334,1.1189000000000004,373.7126000000001
2021-03-30,603038.SH,9631,11.146509084791386,107352.02899562583
2021-03-30,002483.SZ,86,5.167622950819674,444.41557377049196
2021-03-30,300893.SZ,3815,25.776546228710483,98337.52386253049
2021-03-30,601339.SH,780,5.132910447761192,4003.67014925373
2021-03-30,603220.SH,181,5.88033920704846,1064.3413964757713
2021-03-30,603661.SH,1092,92.34274782802396,100838.28062820216
2021-03-30,002425.SZ,1239,11.71444444444442,14514.196666666636
2021-03-30,001872.SZ,24,12.676032672112012,304.22478413068825
2021-03-30,000779.SZ,48,8.562188405797098,410.9850434782607
2021-03-30,601996.SH,22666,4.104370629370636,93029.66468531483
2021-03-30,002675.SZ,4818,23.188156991260904,111720.54038389503
2021-03-30,603298.SH,2441,44.07310717039325,107582.45460292992
2021-03-30,000766.SZ,47671,2.1020509893455137,100206.87271308998
2021-03-30,603860.SH,6278,15.996445652173914,100425.68580434783
2021-03-30,002535.SZ,178,1.1305830388692573,201.2437809187278
2021-03-30,000002.SZ,3669,30.071748310810744,110333.24455236462
2021-03-30,300548.SZ,86,13.384024222405731,1151.026083126893
2021-03-30,000011.SZ,607,20.07866456361725,12187.74939011567
2021-03-30,002688.SZ,20094,5.107001522070016,102620.0885844749
2021-03-30,603458.SH,96,14.959309176225242,1436.0936809176233
2021-03-30,603995.SH,308,36.18324448529414,11144.439301470595
2021-03-30,300721.SZ,70,61.28188149688148,4289.731704781704
2021-03-30,002471.SZ,92,2.4780937500000007,227.98462500000005
2021-03-30,600678.SH,28280,4.154176367869612,117480.10768335262
2021-03-30,600053.SH,10163,8.554455666785831,86938.9329415444
2021-03-30,300465.SZ,281,10.872490272373556,3055.1697665369693
2021-03-30,002661.SZ,207,20.357906168549068,4214.086576889657
2021-03-30,603279.SH,5040,19.07444128356846,96135.18406918505
2021-03-30,600035.SH,218,2.415334302325584,526.5428779069773
2021-03-30,300803.SZ,80,17.98646230007617,1438.9169840060936
2021-03-30,600755.SH,161,5.818549257759784,936.7864304993252
2021-03-31,603126.SH,600,21.29672727272732,12778.036363636393
2021-03-31,000592.SZ,4900,2.7687975778546723,13567.108131487894
2021-03-31,002246.SZ,20,5.63213815789473,112.64276315789459
2021-03-31,300447.SZ,60,14.049356212424858,842.9613727454914
2021-03-31,300878.SZ,81,29.55478775913132,2393.9378084896366
2021-03-31,002524.SZ,782,10.669792060491496,8343.77739130435
2021-03-31,002774.SZ,201,4.967922077922076,998.5523376623372
2021-03-31,000826.SZ,21247,4.744236559139787,100800.79417204305
2021-03-31,002033.SZ,396,10.05055555555557,3980.020000000006
2021-03-31,300562.SZ,222,18.63164721141374,4136.22568093385
2021-03-31,603659.SH,1199,106.43755116360678,127618.62384516453
2021-03-31,300872.SZ,49,16.299345354762828,798.6679223833786
2021-03-31,300171.SZ,47,62.420735497237565,2933.7745683701655
2021-03-31,300674.SZ,2650,46.861688172042975,124183.47365591388
2021-03-31,688101.SH,37743,12.11370192307693,457207.45168269257
2021-03-31,600872.SH,2006,60.35734735761928,121076.83879938428
2021-03-31,600177.SH,11116,9.233955431754886,102644.64857938731
2021-03-31,002795.SZ,82,8.198388227049733,672.2678346180782
2021-03-31,603093.SH,543,8.59580059303187,4667.519722016305
2021-03-31,000411.SZ,7790,14.824648117839605,115484.00883797053
2021-03-31,600110.SH,1249,11.19204545454549,13978.864772727316
2021-03-31,002392.SZ,88,5.696378446115303,501.2813032581467
2021-03-31,600808.SH,695,3.306148867313917,2297.7734627831724
2021-03-31,002566.SZ,14122,6.932035928143705,97894.2113772454
2021-03-31,002749.SZ,10097,9.950644641418195,100471.65894439952
2021-03-31,600569.SH,91,2.5275292968749965,230.0051660156247
2021-03-31,600702.SH,682,222.7299375000003,151901.8173750002
2021-03-31,000506.SZ,182,1.5104863481228663,274.9085153583617
2021-03-31,600728.SH,7,4.218192148760332,29.527345041322327
2021-03-31,600712.SH,366,1.5001656472986746,549.0606269113149
2021-03-31,600333.SH,1239,6.737399999999999,8347.638599999998
2021-03-31,300182.SZ,171,2.8837090163934387,493.114241803278
2021-03-31,000937.SZ,90,3.79065217391304,341.1586956521736
2021-03-31,300819.SZ,1519,74.32933640552996,112906.262
2021-03-31,605336.SH,661,22.847094053744996,15101.929169525443
2021-03-31,000816.SZ,14348,6.4465562913907215,92495.18966887407
2021-03-31,601899.SH,602,19.599484210526345,11798.889494736859
2021-03-31,601689.SH,99,61.97344334433448,6135.370891089113
2021-03-31,600929.SH,93,4.380790468986391,407.41351361573436
2021-03-31,300720.SZ,3251,33.058992944195,107474.78606157794
2021-03-31,002927.SZ,19959,5.1636858817782105,103062.0065144113
2021-03-31,601015.SH,7744,13.629411764705887,105546.16470588239
2021-03-31,002170.SZ,73,4.541302083333327,331.5150520833329
2021-03-31,002494.SZ,97,2.1818069306930723,211.635272277228
2021-03-31,000680.SZ,24830,5.017533783783784,124585.36385135136
2021-03-31,002240.SZ,2158,52.82979924717699,114006.70677540795
